siparis_tarihi,teslim_suresi,teslim_tarihi,irsaliye_tarihi
2021-10-20,2021-10-21,,
2021-11-01,2022-01-09,69,
2021-11-01,2022-01-09,69,
2021-11-01,2022-01-09,69,
2021-11-01,2022-01-09,69,
2021-11-01,2022-01-09,69,
2021-11-01,2022-01-09,69,
2021-11-22,2022-01-20,59,
2021-12-09,2022-02-11,64,
2021-12-09,2022-02-11,64,
2021-12-09,,,
2023-01-24,33,2023-02-26,
2022-01-13,10,2022-01-23,
2022-02-03,30,2022-03-05,
2022-05-18,30,2022-06-17,
2022-04-07,30,2022-05-07,
2022-06-08,60,2022-08-07,
2022-03-04,60,2022-05-03,
2022-06-14,30,2022-07-14,
2022-06-14,17,2022-07-01,
2022-04-08,60,2022-06-07,
2022-06-14,17,2022-07-01,
2022-06-22,65,2022-08-26,
2022-06-22,65,2022-08-26,
2022-06-22,65,2022-08-26,
2022-09-13,9,2022-09-22,
2022-06-22,65,2022-08-26,
2022-06-29,2,2022-07-01,
2022-06-22,65,2022-08-26,
2022-06-29,2,2022-07-01,
2022-06-29,2,2022-07-01,
2022-05-27,3,2022-05-30,
2022-05-13,60,2022-07-12,
2022-06-06,65,2022-08-10,
2022-06-06,65,2022-08-10,
2022-06-06,65,2022-08-10,
2022-08-25,65,2022-10-29,
2022-08-04,60,2022-10-03,
2022-08-10,60,2022-10-09,
2022-08-10,60,2022-10-09,
2022-11-03,27,2022-11-30,
2022-11-16,30,2022-12-16,
2022-10-24,30,2022-11-23,
2022-08-11,0,2022-08-11,
2022-08-17,22,2022-09-08,
2022-08-17,22,2022-09-08,
2022-08-17,22,2022-09-08,
2022-08-17,22,2022-09-08,
2022-08-17,22,2022-09-08,
2022-08-17,22,2022-09-08,
2022-08-17,22,2022-09-08,
2022-09-30,60,2022-11-29,
2022-10-10,14,2022-10-24,
2022-10-13,5,2022-10-18,
2022-11-04,65,2023-01-08,
2022-11-04,65,2023-01-08,
2022-11-03,27,2022-11-30,
2022-11-11,19,2022-11-30,
2023-01-16,,2023-02-06,
2023-01-18,,2023-01-31,
2023-03-28,65 GÜN,2023-06-01,
2023-03-28,65 GÜN,2023-06-01,
2023-05-02,60 GÜN,2023-07-01,
2023-05-08,65 GÜN,2023-07-12,
2023-03-31,,2023-06-04,
2023-02-16,,2023-02-28,
2023-03-31,,2023-06-04,
2023-03-31,,2023-06-04,
2023-04-26,,2023-04-26,
2023-04-26,,,
2023-04-26,,,
2023-05-02,70 GÜN,2023-07-11,
2023-05-02,70 GÜN,2023-07-11,
2023-05-02,70 GÜN,2023-07-11,
2023-05-02,70 GÜN,2023-07-11,
2023-05-02,70 GÜN,2023-07-11,
2023-05-02,70 GÜN,2023-07-11,
2023-05-02,70 GÜN,2023-07-11,
2023-05-02,70 GÜN,2023-07-11,
2023-05-02,70 GÜN,2023-07-11,
2023-05-08,65 GÜN,2023-07-12,
2023-05-08,65 GÜN,2023-07-12,
2023-06-16,70 GÜN,2023-08-25,
2023-06-16,70 GÜN,2023-08-25,
2023-06-16,70 GÜN,2023-08-25,
2023-06-16,70 GÜN,2023-08-25,
2023-06-16,70 GÜN,2023-08-25,
2023-06-16,70 GÜN,2023-08-25,
2023-06-16,70 GÜN,2023-08-25,
2023-06-16,70 GÜN,2023-08-25,
2023-07-04,,2023-07-12,
2023-07-04,,2023-07-12,
2023-07-18,,2023-08-17,
2023-07-19,,2023-08-17,
2023-10-10,70 GÜN,2023-12-19,
2023-08-31,,2023-09-04,
2023-06-13,30 GÜN,2023-07-13,
2023-06-13,30 GÜN,2023-07-13,
2023-10-09,60 GÜN,2023-12-08,
2023-10-10,70 GÜN,2023-12-19,
2023-10-10,70 GÜN,2023-12-19,
2023-10-10,70 GÜN,2023-12-19,
2023-09-15,,2023-09-20,
2023-10-10,70 GÜN,2023-12-19,
2023-10-10,70 GÜN,2023-12-19,
2023-10-10,70 GÜN,2023-12-19,
2023-11-15,60 GÜN,2024-01-14,
2023-09-12,,,
2023-12-06,70 GÜN,2024-02-14,
2023-12-06,70 GÜN,2024-02-14,
2023-12-06,70 GÜN,2024-02-14,
2023-12-06,70 GÜN,2024-02-14,
2023-12-06,70 GÜN,2024-02-14,
2023-12-06,70 GÜN,2024-02-14,
2023-12-06,70 GÜN,2024-02-14,
2023-12-06,70 GÜN,2024-02-14,
2023-10-11,,,
2023-10-11,,,
2023-10-11,,,
2023-11-06,60 GÜN,2024-01-05,
2023-11-07,,,
2023-11-07,,,
2023-11-07,,,
2023-11-07,,,
2023-11-07,,,
